,feature,score
26,Alley__Grvl,6.0009639786299156e-05
221,GarageType__nan,5.795382242780259e-05
58,Neighborhood__Mitchel,5.550949758558568e-05
242,MiscVal,5.053218709572984e-05
146,Exterior2nd__BrkFace,5.038600459930833e-05
67,Neighborhood__SawyerW,4.991649191772387e-05
186,Heating__GasA,4.9129335428260624e-05
43,LotConfig__FR3,4.7763172698623614e-05
78,Condition1__RRAe,4.7147311699002723e-05
65,Neighborhood__SWISU,4.655492653054537e-05
96,BldgType__TwnhsE,4.512273804466238e-05
129,Exterior1st__BrkComm,4.405362024368821e-05
145,Exterior2nd__Brk Cmn,4.402662343294482e-05
245,SaleType__COD,4.031581385761056e-05
10,MSSubClass__90.0,3.9513952968085506e-05
11,MSSubClass__120.0,3.902941287245743e-05
94,BldgType__Duplex,3.2390587796416995e-05
13,MSSubClass__160.0,3.236548514661393e-05
187,Heating__GasW,3.2042564110940085e-05
160,MasVnrType__BrkCmn,3.091453953596943e-05
219,GarageType__CarPort,3.071875777641642e-05
189,Heating__OthW,2.807637882018698e-05
164,MasVnrType__nan,2.7318666859398592e-05
195,Heating__FuseF,2.609890796226022e-05
71,Neighborhood__Veenker,2.4243841062946236e-05
19,MSZoning__RH,2.3622788841038415e-05
76,Condition1__PosA,2.3405590969006214e-05
217,GarageType__Basment,2.251273933994864e-05
93,BldgType__2fmCon,2.1879021209801254e-05
141,Exterior1st__WdShing,2.1328421586008975e-05
102,HouseStyle__2.5Unf,2.096862629509663e-05
241,MiscFeature__nan,2.0910576629046782e-05
123,RoofMatl__Tar&Grv,2.038310459348603e-05
7,MSSubClass__75.0,1.9466508688523832e-05
239,MiscFeature__Shed,1.928970562314345e-05
57,Neighborhood__MeadowV,1.835576847671536e-05
79,Condition1__RRAn,1.8155416168833415e-05
257,SaleCondition__Alloca,1.7694093726368423e-05
47,Neighborhood__Blmngtn,1.7478278934210644e-05
101,HouseStyle__2.5Fin,1.6878122297601096e-05
95,BldgType__Twnhs,1.6646989396243315e-05
15,MSSubClass__190.0,1.5483418418091076e-05
2,MSSubClass__40.0,1.4473419966467547e-05
249,SaleType__ConLI,1.4080571941808925e-05
127,Exterior1st__AsbShng,1.2824091297152829e-05
84,Condition2__Feedr,1.1850405089858701e-05
246,SaleType__CWD,1.1842822340659062e-05
124,RoofMatl__WdShake,1.1774270166989547e-05
188,Heating__Grav,1.1705388853943574e-05
154,Exterior2nd__Stone,1.1580054480824465e-05
104,HouseStyle__SFoyer,1.0232255343698017e-05
143,Exterior2nd__AsbShng,1.0182872821173115e-05
248,SaleType__ConLD,9.478467084529291e-06
120,RoofMatl__Membran,9.469549445410346e-06
121,RoofMatl__Metal,8.427629572116166e-06
171,Foundation__Slab,8.416729823602594e-06
152,Exterior2nd__Other,7.468640868370504e-06
247,SaleType__Con,7.198753560080231e-06
60,Neighborhood__NPkVill,6.8025744421384265e-06
81,Condition1__RRNn,6.137992002794024e-06
3,MSSubClass__45.0,5.212085545053176e-06
144,Exterior2nd__AsphShn,5.098696829378065e-06
99,HouseStyle__1.5Unf,4.9275863830645984e-06
83,Condition2__Artery,4.795073826574776e-06
25,Street,4.324327931615308e-06
250,SaleType__ConLw,4.292842124716395e-06
128,Exterior1st__AsphShn,3.8341283870218086e-06
9,MSSubClass__85.0,3.7277056095171816e-06
215,GarageType__2Types,3.6028131988172244e-06
137,Exterior1st__Stone,3.246916867021974e-06
49,Neighborhood__BrDale,3.1980552979943996e-06
115,RoofStyle__Mansard,2.9899256255029614e-06
172,Foundation__Stone,2.895188816192865e-06
173,Foundation__Wood,2.8537584166302806e-06
48,Neighborhood__Blueste,2.7180198446947797e-06
14,MSSubClass__180.0,2.3811097917113815e-06
116,RoofStyle__Shed,2.1049545849654017e-06
256,SaleCondition__AdjLand,2.094736894985641e-06
237,MiscFeature__Gar2,1.6103446373070423e-06
134,Exterior1st__ImStucc,1.5787240077754944e-06
86,Condition2__PosA,1.5596110700184494e-06
196,Heating__FuseP,1.46574565719167e-06
80,Condition1__RRNe,1.1853267843933793e-06
252,SaleType__Oth,1.1714792293320344e-06
190,Heating__Wall,1.0969329723186282e-06
238,MiscFeature__Othr,1.002992748936312e-06
197,Heating__Mix,9.632435998873896e-07
199,Heating__nan,6.318096782919106e-07
185,Heating__Floor,4.753205810438085e-07
39,Utilities,2.97615604871862e-07
90,Condition2__RRNn,2.219674341107396e-07
88,Condition2__RRAe,1.5016924829928776e-07
147,Exterior2nd__CBlock,1.435573065142223e-07
131,Exterior1st__CBlock,1.0074627028857728e-07
122,RoofMatl__Roll,9.731733561745866e-08
240,MiscFeature__TenC,5.841456617605244e-08
89,Condition2__RRAn,2.5479642731864973e-08
159,Exterior2nd__nan,0.0
72,Neighborhood__nan,0.0
12,MSSubClass__150.0,0.0
16,MSSubClass__nan,0.0
22,MSZoning__nan,0.0
33,LotShape__nan,0.0
38,LandContour__nan,0.0
45,LotConfig__nan,0.0
254,SaleType__nan,0.0
82,Condition1__nan,0.0
142,Exterior1st__nan,0.0
191,Heating__nan,0.0
91,Condition2__nan,0.0
97,BldgType__nan,0.0
106,HouseStyle__nan,0.0
117,RoofStyle__nan,0.0
174,Foundation__nan,0.0
126,RoofMatl__nan,0.0
261,SaleCondition__nan,0.0
